"	LoanAmount	CreationDate	fpd_15	data.Request.Input.CB2.MaxDPD	data.Request.Input.CB2.Labelling	data.Request.Input.CB2.CurrentDPD	data.Request.Input.CB2.Outstandingloan	data.Request.Input.CB1.MaxDPD	data.Request.Input.CB1.Labelling	data.Request.Input.CB1.CurrentDPD	data.Request.Input.CB1.Outstandingloan	data.Request.Input.Customer.EducationStatus	data.Request.Input.Customer.TotalExistingExposure	data.Request.Input.Customer.Income.Final	data.Request.Input.Customer.Gender	data.Request.Input.Customer.NumberOfChildren	data.Request.Input.Customer.AddressLGA	data.Request.Input.Customer.Employment.EmployerLGA	data.Request.Input.Customer.Employment.IndustrySector	data.Request.Input.Customer.Employment.BusinessSector	data.Request.Input.Customer.Employment.NumberOfEmployees	data.Request.Input.Customer.DateOfBirth	data.Request.Input.Customer.ResidentialStatus	data.Request.Input.Customer.MaritalStatus	data.Request.Input.Customer.ExistingCustomer	data.Request.Input.Customer.TimeAtAddressMM	data.Request.Input.SalaryService.MonthlyElectricitySpending4	data.Request.Input.SalaryService.MinimumBalance	data.Request.Input.SalaryService.MinimumCredit	data.Request.Input.SalaryService.AvgNumDebitMn	data.Request.Input.SalaryService.MonthlyCashFlow2	data.Request.Input.SalaryService.MonthlyCashFlow3	data.Request.Input.BVN.StateOfOrigin	data.Request.Input.PrevApplication.LoanAmount	data.Request.Input.PrevApplication.LoanTerm	data.Request.Input.PrevApplication.InterestRate	data.Request.Input.Application.RequestedLoanTerm	data.Request.Input.SalaryService.OpeningBalance",,,
"0	1410000.0	2023-09-04	0	0.0	Sub-Prime	0.0	70000.0	0.0	Prime	0.0	70000.0	Graduate	2533000.0	14442000.0	1		Kuje	Mushin	Textiles and Wearing Apparel	Education	6.0		With Relatives	Married	0	51.0							Jigawa State				17.0	",,,
"1	710000.0	2023-06-26	0		Near-Prime		0.0	0.0	Near-Prime	0.0	50000.0	HND	717000.0	598000.0	0		Gwagwalada	Shagamu	Commercial bank	Transportation and storage	1.0	1989-02-22	With Friends	Married	0	22.0	0.0	0.0	0.0	100.0	11000.0	-2000.0	Niger State				18.0	45000.0",,,
"2	5640000.0	2023-08-20	0	0.0	NTC	0.0	20000.0		Prime		0.0	Post Graduate	4920000.0	49888000.0	0		Eleme	Ibadan Central	Textiles/apparels	Online	3.0	1982-02-17	With Relatives	Married	1								Ogun State	4802000.0	18.0	12.0	14.0	",,,
"3	120000.0	2023-05-22	1	0.0	Prime	0.0	0.0	0.0	NTC	0.0	0.0	Graduate	197000.0	1859000.0	0	3.0	Ifako-Ijaye	Ajeromi-Ifelodun	Retail trade	Oil and Gas	3.0	1995-06-21	Owner	Widowed	1	416.0							Cross River State	262000.0	15.0	13.0	14.0	",,,
"4	160000.0	2023-05-17	0	0.0	Sub-Prime	0.0	140000.0		Sub-Prime			Post Graduate	151000.0	1323000.0	0		Lagos Mainland	Gwagwalada	Transport-related services	Online		1982-10-11	Renting	Married	0								Abia State				12.0	",,,
"5	1190000.0	2023-03-17	0	0.0	Sub-Prime	0.0		0.0	NTC	0.0		Post Graduate	1406000.0	2886000.0	1	2.0	Shomolu	Bwari	Gambling and betting activities	Government	15.0	1985-06-12	With Relatives	Married	0	87.0		-35500.0	0.0	50.0			Cross River State				33.0	",,,
"6	220000.0	2023-07-12	1	0.0	Near-Prime	0.0	0.0		Prime		0.0	Graduate	342000.0	1781000.0	0		Bwari	Kosofe	Other waste management services	Waste Management Activities		1990-11-14	With Friends	Married	0								Kwara State				14.0	",,,
"7	220000.0	2023-06-28	1	0.0	Prime	0.0	0.0		Sub-Prime		0.0	Primary	227000.0	1412000.0	0		Abuja Municipal	Ojo	Warehousing and support activities	Construction	5.0	1998-09-20	Renting	Married	0								Yobe State				10.0	",,,
"8	1780000.0	2023-06-01	0	0.0	Near-Prime	0.0	40000.0	0.0	Prime	0.0	0.0	Graduate	3475000.0	13513000.0	0		Abeokuta South	Gwagwalada	Transport related	Professional"," scientific and technical activities		1994-05-09	Owner	Married	0	14.0							Edo State				18.0	",,
"9	530000.0	2023-09-06	0		Near-Prime		0.0	0.0	Prime	0.0	0.0	Post Graduate	540000.0	2606000.0	0		Abeokuta North	Port-Harcourt	Lending	Human health and social work activities		1992-12-24	With Relatives	Married	0		3601400.0	-106900.0	0.0	70.0	-122000.0	-179000.0	Edo State				18.0	2000.0",,,
